Source,RA_ICRS,DE_ICRS,pmRA,pmDE,Gmag,BPmag,RPmag
6086816381898211200,201.12095816763,-46.47826833446,-7.424,-3.37,19.015217,19.729738,18.168962
6086816386200111872,201.11572140754,-46.47965530141,,,19.902626,17.283073,15.766825
6086816420555986688,201.13357856344,-46.47760923719,,,21.079683,21.141195,20.054432
6086816416257055488,201.14113574476,-46.47497355868,-2.793,-7.734,20.141125,21.148857,19.156366
6086816420554984704,201.1405106534,-46.47639556922,,,20.85325,21.030708,20.008888
6086816420553824000,201.13790515362,-46.47135623852,3.153,-2.172,20.683073,21.359985,19.611446
6086816416257964416,201.12506079757,-46.47155652449,,,20.620554,20.647167,20.16856
6086816420554984832,201.13328874417,-46.46940447491,,,20.793451,21.458185,19.768942
6086816450617698944,201.11190129542,-46.47248492129,-8.35,-1.378,19.30119,19.603153,18.616646
6086816454914712320,201.11212330139,-46.47295242773,-8.974,-0.201,20.290632,,
6086816450617696256,201.10365649564,-46.47316648644,-8.484,-2.851,20.241869,20.677189,19.633087
6086816450617702912,201.10321007098,-46.4711597955,-20.098,0.689,20.309671,21.443998,19.356585
6086816450617705984,201.11266197313,-46.47051889508,-8.186,-1.39,19.84208,20.352049,19.28934
6086816450616796928,201.11709417541,-46.46781843495,-5.345,-2.989,20.458158,20.942284,19.858461
6086816450617716608,201.11303770917,-46.46647051293,-10.15,1.177,18.128767,18.530428,17.594519
6086816489274459776,201.12492973585,-46.46737428862,5.314,-6.12,20.418106,20.61849,19.929472
6086816484977456000,201.12220581595,-46.46652334213,-11.161,-1.258,17.362448,17.84305,16.754358
6086816484977456896,201.12556093716,-46.4661067336,-11.496,3.633,18.233114,19.178953,17.30946
6086816484977465472,201.13457886453,-46.46383199008,-6.337,2.714,19.962177,20.489058,19.354757
6086816484976538880,201.13836847224,-46.45890773944,-5.993,-6.97,20.176317,20.970398,19.067999
6086816484977472128,201.13170909847,-46.46166734299,-5.393,-4.262,20.11852,20.689627,19.700823
6086816489278302720,201.13521197097,-46.45933638004,-14.286,-12.741,17.475061,18.423773,16.418736
6086816484977481600,201.12605767526,-46.45874951278,-7.463,-4.671,18.029348,19.013159,16.975569
6086816489273306368,201.11815922505,-46.45990141946,-4.076,-7.12,20.371246,21.025108,19.501766
6086863420380100736,201.1230666722,-46.45615547152,-6.365,-2.13,18.25583,18.639927,17.729012
6086816484977481088,201.12969395634,-46.45892160142,-8.926,-1.111,19.305916,19.674656,18.793818
6086816523634209280,201.1468503721,-46.47085462267,-5.556,0.703,20.619059,20.75082,20.034124
6086816519337196416,201.14829315305,-46.4663501759,-2.435,0.072,19.470398,19.97595,18.855837
6086816523638038272,201.16116586983,-46.46203562857,-18.526,-5.296,18.305,18.866844,17.563623
6086816519337200896,201.14307328268,-46.46506444211,-2.859,-10.154,18.14069,19.516687,16.91302
6086816523632199168,201.14267973208,-46.46525718752,,,,,
6086816519337202048,201.14530597443,-46.46500837078,-6.718,-4.22,20.047241,20.488686,19.482786
6086816519337209856,201.14564021621,-46.46251498548,-2.289,0.545,18.392546,18.901054,17.778444
6086816519337214976,201.14765111279,-46.46080283955,-0.632,-6.099,20.35402,20.77182,19.69839
6086816523638046208,201.15806095297,-46.45426722103,-15.646,3.285,16.371809,16.714516,15.847787
6086816519336278912,201.15105717275,-46.45497234078,-3.216,13.619,19.860579,21.471045,18.618368
6086816523634220672,201.15651158086,-46.45234979906,-0.98,0.647,20.535887,21.080784,19.71181
6086816519337242112,201.15755116847,-46.45094190172,-7.487,3.238,20.41216,21.337387,19.387548
6086816557997784192,201.16436550039,-46.45492399345,-10.911,0.969,15.382763,15.923867,14.614748
6086816557993968512,201.17650653861,-46.45147530481,-6.041,-4.935,20.058178,20.63246,19.13292
